Tract Code,Total Housing Units,1-4 Family Units,Median House Age,Inside City?,Owner Occupied Units,Vacant Units,Owner Occupied 1-4 Fam Units,Renter Occupied,state,county
0095.09,1377,1377,63,Yes,1050,88,1050,239,11,001
0096.01,880,740,63,Yes,335,96,335,449,11,001
0096.02,1656,282,55,Yes,94,81,94,1481,11,001
0096.03,1800,953,60,Yes,412,243,358,1145,11,001
0096.04,1046,918,69,Yes,630,53,630,363,11,001
0097.00,1327,751,38,Yes,417,173,417,737,11,001
0098.01,936,378,36,Yes,160,135,96,641,11,001
0098.02,886,485,57,Yes,182,272,121,432,11,001
0098.03,1449,483,44,Yes,132,200,117,1117,11,001
0098.04,1110,419,48,Yes,316,81,248,713,11,001
0098.07,1617,1035,59,Yes,550,367,544,700,11,001
0098.10,1224,511,50,Yes,126,64,39,1034,11,001
0098.11,2145,453,52,Yes,223,220,193,1702,11,001
0099.01,1117,1087,57,Yes,824,86,824,207,11,001
0099.02,1340,1100,67,Yes,873,174,826,293,11,001
0099.03,775,703,47,Yes,389,39,377,347,11,001
0099.04,1290,428,48,Yes,303,342,232,645,11,001
0099.05,1378,780,60,Yes,459,292,424,627,11,001
0099.06,777,418,58,Yes,238,110,174,429,11,001
0099.07,1239,1024,63,Yes,222,97,222,920,11,001
0101.00,2051,56,49,Yes,437,193,30,1421,11,001
0102.00,1568,385,48,Yes,473,207,229,888,11,001
0103.00,1301,825,73,Yes,592,108,574,601,11,001
0104.00,1798,1167,61,Yes,493,208,413,1097,11,001
0105.00,2322,700,51,Yes,830,73,294,1419,11,001
0106.00,2890,1392,39,Yes,740,262,688,1888,11,001
0107.00,1282,119,46,Yes,159,149,20,974,11,001
0108.00,1100,27,52,Yes,71,141,8,888,11,001
0109.00,1448,344,51,Yes,24,226,8,1198,11,001
0110.00,2582,532,0,Yes,1483,245,394,854,11,001
0111.00,1888,1582,70,Yes,1189,154,1174,545,11,001
9203.13,1883,1768,45,No,1454,60,1421,369,06,037
9203.14,973,819,27,No,765,19,765,189,06,037
9203.22,1104,851,0,No,908,28,799,168,06,037
9203.26,2653,1538,18,No,1310,124,1281,1219,06,037
9203.28,934,401,13,No,379,65,339,490,06,037
9203.29,2219,1741,30,No,1499,57,1336,663,06,037
9203.30,2458,1620,0,No,1473,77,1259,908,06,037
9203.31,1519,1365,38,No,926,52,926,541,06,037
9203.32,664,425,29,No,465,23,335,176,06,037
9203.34,2361,1584,40,No,1435,0,1214,926,06,037
9203.36,1786,1010,42,No,437,87,437,1262,06,037
9203.37,2000,1209,30,No,488,63,463,1449,06,037
9203.38,1758,1740,19,No,1579,0,1561,179,06,037
9203.39,2302,1867,15,No,1542,88,1512,672,06,037
9301.01,128,117,42,No,28,78,28,22,06,037
9302.00,184,174,49,Yes,121,16,121,47,06,037
9303.01,322,322,49,No,186,80,186,56,06,037
9800.01,0,0,0,Yes,0,0,0,0,06,037
9800.02,0,0,0,Yes,0,0,0,0,06,037
9800.03,0,0,0,No,0,0,0,0,06,037
9800.04,11,0,0,No,0,0,0,11,06,037
9800.05,0,0,0,Yes,0,0,0,0,06,037
9800.06,0,0,0,Yes,0,0,0,0,06,037
9800.07,0,0,0,Yes,0,0,0,0,06,037
9800.08,37,25,46,Yes,14,0,14,23,06,037
9800.09,12,12,0,Yes,0,12,0,0,06,037
9800.10,68,39,62,Yes,18,9,18,41,06,037
9800.13,0,0,0,No,0,0,0,0,06,037
9800.14,20,20,0,Yes,0,7,0,13,06,037
9800.15,271,131,50,Yes,0,118,0,153,06,037
9800.18,0,0,0,Yes,0,0,0,0,06,037
9800.19,71,66,40,Yes,61,0,56,10,06,037
9800.20,0,0,0,Yes,0,0,0,0,06,037
9800.21,0,0,0,Yes,0,0,0,0,06,037
9800.22,0,0,0,Yes,0,0,0,0,06,037
9800.23,5,5,0,Yes,5,0,5,0,06,037
9800.24,84,76,53,Yes,63,5,59,16,06,037
9800.25,0,0,0,Yes,0,0,0,0,06,037
9800.26,8,8,0,Yes,4,0,4,4,06,037
9800.28,0,0,0,Yes,0,0,0,0,06,037
9800.30,0,0,0,No,0,0,0,0,06,037
9800.31,13,13,0,Yes,0,0,0,13,06,037
9800.33,0,0,0,Yes,0,0,0,0,06,037
9901.00,0,0,0,No,0,0,0,0,06,037
9902.00,0,0,0,Yes,0,0,0,0,06,037
9903.00,0,0,0,No,0,0,0,0,06,037
8423.00,1735,806,22,Yes,768,159,418,808,17,031
8424.00,1472,1282,65,Yes,835,169,828,468,17,031
8425.00,900,231,63,Yes,62,79,45,759,17,031
8426.00,1670,1558,76,Yes,771,240,771,659,17,031
8428.00,2303,2183,76,Yes,892,311,872,1100,17,031
8429.00,1265,536,48,Yes,181,62,80,1022,17,031
8430.00,1185,704,76,Yes,139,228,139,818,17,031
8431.00,679,526,76,Yes,135,166,135,378,17,031
8432.00,992,874,76,Yes,250,216,250,526,17,031
8433.00,547,454,76,Yes,82,126,82,339,17,031
8434.00,559,492,76,Yes,234,136,234,189,17,031
8435.00,355,352,76,Yes,151,58,151,146,17,031
8436.00,1394,688,59,Yes,264,304,223,826,17,031
8437.00,1036,780,73,Yes,590,70,480,376,17,031
8438.00,899,855,76,Yes,290,319,290,290,17,031
8439.00,2311,611,52,Yes,444,394,122,1473,17,031
9800.00,0,0,0,Yes,0,0,0,0,17,031
9801.00,0,0,0,Yes,0,0,0,0,17,031
9900.00,0,0,0,No,0,0,0,0,17,031
9816.00,0,0,0,Yes,0,0,0,0,25,025
9817.00,0,0,0,Yes,0,0,0,0,25,025
9818.00,30,26,46,Yes,19,11,15,0,25,025
9901.01,0,0,0,Yes,0,0,0,0,25,025
1175.00,2090,1340,67,Yes,966,198,850,926,36,081
1181.00,725,708,63,Yes,199,166,199,360,36,081
1185.00,717,512,61,Yes,193,45,186,479,36,081
1187.00,835,581,60,Yes,318,83,301,434,36,081
1189.00,744,702,68,Yes,368,41,368,335,36,081
1191.00,1098,937,57,Yes,250,94,223,754,36,081
1193.00,749,633,76,Yes,322,48,322,379,36,081
1195.00,448,448,73,Yes,292,24,292,132,36,081
1199.00,524,524,76,Yes,354,39,354,131,36,081
1201.00,519,469,66,Yes,213,52,213,254,36,081
1203.00,513,506,62,Yes,347,37,347,129,36,081
1205.00,1050,616,59,Yes,298,78,264,674,36,081
1207.00,949,916,64,Yes,552,84,539,313,36,081
1211.00,0,0,0,Yes,0,0,0,0,36,081
1215.00,1364,1364,63,Yes,715,126,715,523,36,081
1223.00,1189,1140,60,Yes,722,49,681,418,36,081
1227.01,4528,1961,57,Yes,1694,106,863,2728,36,081
1227.02,2928,518,59,Yes,270,39,134,2619,36,081
1241.00,1294,1294,60,Yes,858,184,858,252,36,081
1247.00,1215,1215,66,Yes,1007,50,1007,158,36,081
1257.00,1021,909,62,Yes,576,95,554,350,36,081
1265.00,576,423,69,Yes,282,46,282,248,36,081
1267.00,729,722,76,Yes,462,52,462,215,36,081
1277.00,1192,1163,70,Yes,913,122,913,157,36,081
1283.00,25,4,60,Yes,21,0,0,4,36,081
1291.02,1242,990,64,Yes,1129,37,910,76,36,081
1291.03,2056,352,60,Yes,1537,146,317,373,36,081
1291.04,1953,1676,60,Yes,1624,69,1444,260,36,081
1301.00,1618,1352,63,Yes,1162,95,1004,361,36,081
1333.00,1394,1374,66,Yes,883,149,883,362,36,081
1339.00,462,456,72,Yes,354,60,348,48,36,081
1341.00,1128,1043,65,Yes,790,62,736,276,36,081
1347.00,3989,1247,61,Yes,690,153,546,3146,36,081
1367.00,2499,2226,59,Yes,1699,157,1450,643,36,081
1377.00,2369,2172,63,Yes,1112,40,1023,1217,36,081
1385.01,1484,1445,53,Yes,773,62,766,649,36,081
